iteration,hv_mean,hv_std
265,10.916547,0.265327
266,10.916569,0.265335
267,10.916569,0.265335
268,10.917541,0.264169
269,10.917613,0.264125
270,10.921271,0.265473
271,10.921284,0.265466
272,10.921284,0.265466
273,10.920490,0.264279
274,10.920490,0.264279
275,10.919419,0.262466
276,10.919419,0.262466
277,10.919176,0.262890
278,10.919176,0.262890
279,10.957024,0.269737
280,10.949076,0.255072
281,10.949449,0.255465
282,10.949708,0.255391
283,10.950113,0.255606
284,10.950143,0.255561
285,10.950231,0.255606
286,10.950380,0.255793
287,10.950411,0.255826
288,10.950481,0.255897
289,10.950481,0.255897
290,10.950590,0.255916
291,10.950601,0.255923
292,10.950601,0.255923
293,10.950604,0.255919
294,10.950604,0.255919
295,10.937014,0.251674
296,10.937473,0.251014
297,10.937473,0.251014
298,10.937473,0.251014
299,10.937473,0.251014
300,10.937601,0.250824
301,10.941549,0.248885
302,10.941656,0.248833
303,10.941683,0.248837
304,10.941745,0.248910
305,10.941904,0.249023
306,10.941922,0.249033
307,10.942295,0.248768
308,10.942313,0.248766
309,10.942547,0.248903
310,10.942548,0.248903
311,10.942580,0.248883
312,10.942592,0.248879
313,10.942594,0.248882
314,10.943786,0.249930
315,10.943983,0.249891
316,10.944063,0.249869
317,10.944113,0.249866
318,10.944115,0.249870
319,10.942173,0.249308
320,10.942173,0.249308
321,10.942336,0.249109
322,10.943662,0.249016
323,10.943677,0.248999
324,10.947158,0.249694
325,10.947546,0.249502
326,10.947817,0.249275
327,10.948692,0.248519
328,10.948692,0.248519
329,10.948758,0.248486
330,10.949422,0.248119
331,10.949655,0.248001
332,10.949876,0.247939
333,10.950120,0.247813
334,10.952589,0.248823
335,10.952680,0.248778
336,10.952712,0.248821
337,10.953223,0.249218
338,10.953925,0.248905
339,10.953925,0.248905
340,10.954007,0.248899
341,10.954203,0.249781
342,10.955466,0.249632
343,10.955477,0.249637
344,10.955477,0.249637
345,10.955477,0.249637
346,10.955488,0.249636
347,10.955488,0.249636
348,10.955533,0.249587
349,10.957308,0.246726
350,10.957101,0.247045
351,10.957101,0.247045
352,10.957705,0.247406
353,10.957705,0.247406
354,10.959592,0.244671
355,10.959603,0.244666
356,10.959603,0.244666
