f1,f2,f3,type
7.230110,8.911788,13430,pareto
7.230340,9.264637,13330,pareto
7.230346,10.795433,2253,pareto
7.230456,9.905386,3296,pareto
7.231262,9.887822,3246,pareto
7.231314,10.774356,2193,pareto
7.232245,10.123380,2273,pareto
7.232508,10.832240,2180,pareto
7.232852,8.852069,13260,pareto
7.233819,9.771897,2916,pareto
7.233819,8.830601,12840,pareto
7.234720,10.636300,1800,pareto
7.235276,10.612763,1733,pareto
7.235294,8.745121,12680,pareto
7.236198,9.925461,1633,pareto
7.236538,8.994145,12560,pareto
7.237137,8.966042,12480,pareto
7.238058,8.556596,12380,pareto
7.238959,10.519984,1380,pareto
7.238980,9.694614,2596,pareto
7.239562,10.444145,1253,pareto
7.240717,9.658392,2596,pareto
7.242349,10.409016,1153,pareto
7.243334,8.412959,12010,pareto
7.244028,9.894301,880,pareto
7.244169,10.268501,753,pareto
7.245526,8.654450,11593,pareto
7.245832,9.028103,10910,pareto
7.246352,8.323575,11480,pareto
7.246411,9.643911,10833,pareto
7.246546,9.625293,10780,pareto
7.246675,8.239169,11460,pareto
7.246693,9.814310,1096,pareto
7.247306,10.157143,436,pareto
7.247951,9.579625,10650,pareto
7.249129,9.557455,1950,pareto
7.249213,8.513934,11193,pareto
7.249311,9.519906,10480,pareto
7.250021,10.050703,303,pareto
7.250232,9.484778,10380,pareto
7.250960,8.439110,10980,pareto
7.251400,9.613271,80,pareto
7.251522,9.435597,10240,pareto
7.252493,9.412061,10173,pareto
7.252899,8.373419,10793,pareto
7.252997,9.379391,10080,pareto
7.253172,8.084699,10800,pareto
7.253784,9.362881,10033,pareto
7.254574,8.906674,453,pareto
7.254907,8.328806,10666,pareto
7.255568,7.972287,10480,pareto
7.256930,9.237653,66,pareto
7.257529,9.390008,0,pareto
7.259425,9.183724,0,pareto
7.259922,7.877440,10210,pareto
7.260765,8.659394,0,pareto
7.261420,7.677108,9860,pareto
7.263187,8.536768,66,pareto
7.263862,7.947307,9580,pareto
7.264244,8.427753,0,pareto
7.266988,8.211632,246,pareto
7.267091,7.678697,9613,pareto
7.267318,7.841920,9280,pareto
7.267548,7.806792,9180,pareto
7.267622,8.176503,416,pareto
7.270777,7.538181,9213,pareto
7.271769,8.035988,816,pareto
7.272515,8.163354,0,pareto
7.275814,8.014310,7830,pareto
7.276780,7.644848,8719,pareto
7.278701,7.799063,2166,pareto
7.278867,7.124278,8066,pareto
7.279049,7.999297,1596,pareto
7.281201,7.756774,0,pareto
7.283173,7.511726,1916,pareto
7.284152,7.363817,7919,pareto
7.284164,7.496175,1076,pareto
7.285038,7.161475,7343,pareto
7.285173,6.935988,7530,pareto
7.286007,7.437627,1476,pareto
7.286144,7.129859,7253,pareto
7.287161,6.808119,7166,pareto
7.290046,7.445824,962,pareto
7.290211,7.297112,1926,pareto
7.290269,7.361514,956,pareto
7.290429,7.013934,6923,pareto
7.293347,7.730516,0,pareto
7.295455,6.783138,6266,pareto
7.296319,7.582436,0,pareto
7.296576,7.261085,5983,pareto
7.297815,6.672756,6413,pareto
7.298052,7.094536,2072,pareto
7.298471,7.040671,2156,pareto
7.299141,6.422873,5866,pareto
7.299798,7.441920,0,pareto
7.299971,6.319828,5776,pareto
7.300161,6.988466,5053,pareto
7.300487,6.989149,2206,pareto
7.300888,7.375566,226,pareto
7.301524,6.941140,2406,pareto
7.302563,7.336534,0,pareto
7.302733,6.929430,2436,pareto
7.304368,6.169917,5313,pareto
7.306327,6.802966,2736,pareto
7.308054,6.029402,4913,pareto
7.309126,6.660109,3406,pareto
7.309933,6.759641,2006,pareto
7.309935,7.055504,0,pareto
7.310737,6.609055,4096,pareto
7.312066,5.911018,4576,pareto
7.313621,6.929477,0,pareto
7.313886,6.080562,4266,pareto
7.315750,6.730367,1616,pareto
7.316694,6.644204,4073,pareto
7.318229,6.753786,0,pareto
7.318379,5.922482,3816,pareto
7.319513,6.648805,2953,pareto
7.319897,6.589852,2016,pareto
7.320990,6.724896,0,pareto
7.320994,6.648400,0,pareto
7.322180,5.764403,3366,pareto
7.324079,6.198283,2936,pareto
7.327811,5.703591,3296,pareto
7.328631,5.683450,2666,pareto
7.330930,5.404098,3069,pareto
7.332649,5.633333,2996,pareto
7.332930,6.351041,2626,pareto
7.333454,6.482982,0,pareto
7.334446,6.371481,1746,pareto
7.337608,6.167498,1553,pareto
7.338292,6.201952,0,pareto
7.341748,5.555894,1953,pareto
